Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
14032018T020531,63656674943390.00,5,-1,-1,9,0.85,3,FALSE,FALSE,TRUE,16
14032018T020532,63656674950165.00,5,0,target5,9,0.85,3,FALSE,FALSE,TRUE,6775
14032018T020533,63656674971286.00,5,1,target1,9,0.85,3,FALSE,FALSE,TRUE,21121
14032018T020534,63656674985686.00,5,2,target4,9,0.85,3,FALSE,FALSE,TRUE,14400
14032018T020535,63656674991257.00,5,3,target7,9,0.85,3,FALSE,FALSE,TRUE,5571
14032018T020536,63656675019742.00,5,4,target3,9,0.85,3,FALSE,FALSE,TRUE,28485
14032018T020537,63656675046034.00,5,5,target0,9,0.85,3,FALSE,FALSE,TRUE,26292
14032018T020539,63656675062582.00,5,6,target6,9,0.85,3,FALSE,FALSE,TRUE,16548
14032018T020540,63656675085060.00,5,7,target2,9,0.85,3,FALSE,FALSE,TRUE,22478
14032018T020541,63656675102255.00,5,8,target8,9,0.85,3,FALSE,FALSE,TRUE,17195
14032018T020541,63656589941744.00,1,-1,-1,9,0.85,4,FALSE,TRUE,TRUE,
14032018T020641,63656590001409.00,1,0,target3,9,0.85,4,FALSE,TRUE,TRUE,59665
14032018T020658,63656590018488.00,1,1,target6,9,0.85,4,FALSE,TRUE,TRUE,17079
14032018T020731,63656590051485.00,1,2,target2,9,0.85,4,FALSE,TRUE,TRUE,32997
14032018T020748,63656590068284.00,1,3,target4,9,0.85,4,FALSE,TRUE,TRUE,16799
14032018T020808,63656590088626.00,1,4,target7,9,0.85,4,FALSE,TRUE,TRUE,20342
14032018T020821,63656590101757.00,1,5,target8,9,0.85,4,FALSE,TRUE,TRUE,13131
14032018T020834,63656590114833.00,1,6,target5,9,0.85,4,FALSE,TRUE,TRUE,13076
14032018T020916,63656590156857.00,1,7,target1,9,0.85,4,FALSE,TRUE,TRUE,42024
14032018T020930,63656590170612.00,1,8,target0,9,0.85,4,FALSE,TRUE,TRUE,13755
14032018T020930,63656590170627.00,2,-1,-1,9,0.85,4,FALSE,TRUE,TRUE,15
14032018T020948,63656590188044.00,2,0,target6,9,0.85,4,FALSE,TRUE,TRUE,17417
14032018T021014,63656590214638.00,2,1,target8,9,0.85,4,FALSE,TRUE,TRUE,26594
14032018T021044,63656590244956.00,2,2,target2,9,0.85,4,FALSE,TRUE,TRUE,30318
14032018T021049,63656590249658.00,2,3,target1,9,0.85,4,FALSE,TRUE,TRUE,4702
14032018T021117,63656590277960.00,2,4,target5,9,0.85,4,FALSE,TRUE,TRUE,28302
14032018T021123,63656590283723.00,2,5,target4,9,0.85,4,FALSE,TRUE,TRUE,5763
14032018T021151,63656590311283.00,2,6,target7,9,0.85,4,FALSE,TRUE,TRUE,27560
14032018T021211,63656590331006.00,2,7,target0,9,0.85,4,FALSE,TRUE,TRUE,19723
14032018T021229,63656590349748.00,2,8,target3,9,0.85,4,FALSE,TRUE,TRUE,18742
14032018T021229,63656590349763.00,3,-1,-1,9,0.85,4,FALSE,TRUE,TRUE,15
14032018T021241,63656590361991.00,3,0,target4,9,0.85,4,FALSE,TRUE,TRUE,12228
14032018T021249,63656590369391.00,3,1,target5,9,0.85,4,FALSE,TRUE,TRUE,7400
14032018T021259,63656590379363.00,3,2,target3,9,0.85,4,FALSE,TRUE,TRUE,9972
14032018T021318,63656590398393.00,3,3,target6,9,0.85,4,FALSE,TRUE,TRUE,19030
14032018T021333,63656590413419.00,3,4,target8,9,0.85,4,FALSE,TRUE,TRUE,15026
14032018T021351,63656590431319.00,3,5,target0,9,0.85,4,FALSE,TRUE,TRUE,17900
14032018T021357,63656590437375.00,3,6,target1,9,0.85,4,FALSE,TRUE,TRUE,6056
14032018T021411,63656590451942.00,3,7,target2,9,0.85,4,FALSE,TRUE,TRUE,14567
14032018T021433,63656590473166.00,3,8,target7,9,0.85,4,FALSE,TRUE,TRUE,21224
14032018T021433,63656590473186.00,4,-1,-1,9,0.85,4,FALSE,TRUE,TRUE,20
14032018T021506,63656590506482.00,4,0,target4,9,0.85,4,FALSE,TRUE,TRUE,33296
14032018T021518,63656590518590.00,4,1,target1,9,0.85,4,FALSE,TRUE,TRUE,12108
14032018T021533,63656590533782.00,4,2,target0,9,0.85,4,FALSE,TRUE,TRUE,15192
14032018T021548,63656590548943.00,4,3,target2,9,0.85,4,FALSE,TRUE,TRUE,15161
14032018T021615,63656590575124.00,4,4,target5,9,0.85,4,FALSE,TRUE,TRUE,26181
14032018T021633,63656590593912.00,4,5,target8,9,0.85,4,FALSE,TRUE,TRUE,18788
14032018T021700,63656590620225.00,4,6,target7,9,0.85,4,FALSE,TRUE,TRUE,26313
14032018T021718,63656590638807.00,4,7,target3,9,0.85,4,FALSE,TRUE,TRUE,18582
14032018T021733,63656590653410.00,4,8,target6,9,0.85,4,FALSE,TRUE,TRUE,14603
14032018T021733,63656590653427.00,5,-1,-1,9,0.85,4,FALSE,TRUE,TRUE,17
14032018T021743,63656590663140.00,5,0,target0,9,0.85,4,FALSE,TRUE,TRUE,9713
14032018T021842,63656590722769.00,5,1,target1,9,0.85,4,FALSE,TRUE,TRUE,59629
14032018T021922,63656590762562.00,5,2,target4,9,0.85,4,FALSE,TRUE,TRUE,39793
14032018T021936,63656590776002.00,5,3,target5,9,0.85,4,FALSE,TRUE,TRUE,13440
14032018T022007,63656590807030.00,5,4,target8,9,0.85,4,FALSE,TRUE,TRUE,31028
14032018T022023,63656590823911.00,5,5,target2,9,0.85,4,FALSE,TRUE,TRUE,16881
14032018T022042,63656590842206.00,5,6,target6,9,0.85,4,FALSE,TRUE,TRUE,18295
14032018T022054,63656590854075.00,5,7,target3,9,0.85,4,FALSE,TRUE,TRUE,11869
14032018T022119,63656590879325.00,5,8,target7,9,0.85,4,FALSE,TRUE,TRUE,
