Time,Millis,Round,Trial,TargetID,TargetTotal,Radius,Session,LinearUp,AlertTone,Blind,
26032018T191822,6.36577E+13,3,3,target2,9,0.85,4,FALSE,FALSE,FALSE,688
26032018T191828,6.36577E+13,3,4,target3,9,0.85,4,FALSE,FALSE,FALSE,573
26032018T191828,6.36577E+13,3,5,target6,9,0.85,4,FALSE,FALSE,FALSE,1357
26032018T191834,6.36577E+13,3,6,target1,9,0.85,4,FALSE,FALSE,FALSE,656
26032018T191837,6.36577E+13,3,7,target0,9,0.85,4,FALSE,FALSE,FALSE,1259
26032018T191845,6.36577E+13,3,8,target8,9,0.85,4,FALSE,FALSE,FALSE,624
26032018T191845,6.36577E+13,4,-1,-1,9,0.85,4,FALSE,FALSE,FALSE,13
26032018T191846,6.36577E+13,4,0,target5,9,0.85,4,FALSE,FALSE,FALSE,461
26032018T191847,6.36577E+13,4,1,target4,9,0.85,4,FALSE,FALSE,FALSE,481
26032018T191848,6.36577E+13,4,2,target2,9,0.85,4,FALSE,FALSE,FALSE,582
26032018T191849,6.36577E+13,4,3,target8,9,0.85,4,FALSE,FALSE,FALSE,533
26032018T191849,6.36577E+13,4,4,target3,9,0.85,4,FALSE,FALSE,FALSE,627
26032018T191850,6.36577E+13,4,5,target6,9,0.85,4,FALSE,FALSE,FALSE,1798
26032018T191851,6.36577E+13,4,6,target1,9,0.85,4,FALSE,FALSE,FALSE,676
26032018T191852,6.36577E+13,4,7,target7,9,0.85,4,FALSE,FALSE,FALSE,497
26032018T191853,6.36577E+13,4,8,target0,9,0.85,4,FALSE,FALSE,FALSE,637
26032018T191853,6.36577E+13,5,-1,-1,9,0.85,4,FALSE,FALSE,FALSE,15
26032018T191854,6.36577E+13,5,0,target7,9,0.85,4,FALSE,FALSE,FALSE,703
26032018T191854,6.36577E+13,5,1,target6,9,0.85,4,FALSE,FALSE,FALSE,952
26032018T191855,6.36577E+13,5,2,target5,9,0.85,4,FALSE,FALSE,FALSE,666
26032018T191856,6.36577E+13,5,3,target2,9,0.85,4,FALSE,FALSE,FALSE,695
26032018T191857,6.36577E+13,5,4,target8,9,0.85,4,FALSE,FALSE,FALSE,660
26032018T191857,6.36577E+13,5,5,target0,9,0.85,4,FALSE,FALSE,FALSE,699
26032018T191858,6.36577E+13,5,6,target1,9,0.85,4,FALSE,FALSE,FALSE,703
26032018T191859,6.36577E+13,5,7,target3,9,0.85,4,FALSE,FALSE,FALSE,739
26032018T191859,6.36577E+13,5,8,target4,9,0.85,4,FALSE,FALSE,FALSE,618
